Phase,Tuning Option,Current Setting,Summary
Phase 03,LLM_SERP_RERANK_ENABLED,true (env + GUI: Indexing → Triage LLM Enabled toggle),[GUI: Indexing Runtime → Triage LLM toggle] Master switch for LLM-powered SERP reranking. When enabled the LLM scores and reranks SERP results after deterministic triage. When disabled only the rules-based deterministic reranker is used. Saves LLM costs but may miss nuanced relevance signals.
Phase 03,LLM_MODEL_TRIAGE,(env + GUI: Indexing → Triage Model dropdown),[GUI: Indexing Runtime → Triage Model dropdown] LLM model used for SERP reranking. Dropdown populated dynamically. Typically a fast/cheap model since triage is high-volume low-stakes.
Phase 03,LLM_MAX_OUTPUT_TOKENS_TRIAGE,(env + GUI: Indexing → Triage Max Tokens dropdown),[GUI: Indexing Runtime → Triage Max Tokens dropdown] Maximum output tokens for SERP triage LLM calls. Usually low (256-512) since triage responses are short score lists.
Phase 03,SERP_TRIAGE_ENABLED,true (env + GUI: Pipeline Settings → SERP Triage toggle),[GUI: Pipeline Settings → SERP Triage → Enabled toggle] Master switch for the entire SERP triage subsystem. When disabled all SERP results pass through unfiltered. When enabled URLs are scored and filtered by quality/relevance.
Phase 03,SERP_TRIAGE_MIN_SCORE,5 (env + GUI: Pipeline Settings slider 1-10),[GUI: Pipeline Settings → SERP Triage → Min Score slider] Minimum triage score a SERP result must achieve to be fetched. Scale 1-10 where higher is stricter. URLs scoring below this threshold are discarded. Lower values fetch more URLs (broader but noisier); higher values are more selective.
Phase 03,SERP_TRIAGE_MAX_URLS,12 (env + GUI: Pipeline Settings slider 5-30),[GUI: Pipeline Settings → SERP Triage → Max URLs slider] Maximum URLs to retain after triage scoring and filtering. Even if many URLs pass the min score threshold only the top N by score are kept. Controls fetch budget per search round.
Phase 03,SERP Identity Match Bonuses,strong: 2.0 / partial: 0.8 / weak: 0 / none: -1.5 (hardcoded in serpReranker.js),[Hardcoded — no control] SERP reranker identity match scoring. Strong identity match (brand+model+variant all present) gets +2.0 bonus. No identity match gets -1.5 penalty. These weights determine how aggressively the reranker favors URLs that mention the exact product.
Phase 03,SERP Brand Presence Bonus,2.5 (hardcoded in serpReranker.js),[Hardcoded — no control] Bonus points added to SERP score when the brand name appears in the URL title/snippet. Combined with model bonus for up to +5.0 total identity signal.
Phase 03,SERP Model Presence Bonus,2.5 (hardcoded in serpReranker.js),[Hardcoded — no control] Bonus points added to SERP score when the model name appears in the URL title/snippet.
Phase 03,SERP Spec/Manual Keyword Bonus,1.3 (hardcoded in serpReranker.js),[Hardcoded — no control] Bonus for URLs whose title/snippet contains spec/manual/datasheet keywords. Favors technical documentation over general content.
Phase 03,SERP Review/Benchmark Bonus,0.9 (hardcoded in serpReranker.js),[Hardcoded — no control] Bonus for URLs mentioning review/benchmark/test/comparison. Favors lab review content.
Phase 03,SERP Forum/Reddit Penalty,-0.9 (hardcoded in serpReranker.js),[Hardcoded — no control] Penalty for forum/reddit URLs. These sources are Tier 3-4 and often contain unreliable specs.
Phase 03,SERP Brand-in-Hostname Bonus,1.2 (hardcoded in serpReranker.js),[Hardcoded — no control] Bonus when the brand name appears in the hostname (e.g. razer.com for Razer products). Favors manufacturer sites (Tier 1).
Phase 03,SERP Wikipedia Penalty,-1.0 (hardcoded in serpReranker.js),[Hardcoded — no control] Penalty for Wikipedia URLs. Wikipedia rarely has detailed product specs and is not a primary source.
Phase 03,SERP Variant Guard Penalty,-3.0 (hardcoded in serpReranker.js),[Hardcoded — no control] Heavy penalty applied when the URL appears to be about a different variant of the product. Prevents fetching specs for the wrong product version.
Phase 03,SERP Multi-Model Hint Penalty,-1.5 (hardcoded in serpReranker.js),[Hardcoded — no control] Penalty when the URL appears to cover multiple products (comparison pages). These pages are harder to extract from accurately.
Phase 03,SERP Tier Bonuses,Tier 1: 1.5 / Tier 2: 0.5 / else: 0 (hardcoded in serpReranker.js),[Hardcoded — no control] Bonus points by evidence tier classification. Manufacturer/official sources (Tier 1) get +1.5; lab reviews (Tier 2) get +0.5. Tier 3-4 get no bonus.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PHASE 04 — URL Health & Self-Healing,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Phase 04,FRONTIER_COOLDOWN_403_BASE,1800 seconds / 30 min (env + config.js),"[Backend only — no GUI control] Base cooldown in seconds after a 403 Forbidden response. Uses exponential backoff: actual_cooldown = base × 2^min(4, fetchCount-1). First 403 = 30min, second = 60min, third = 2hr, fourth = 4hr, max = 8hr. Prevents hammering domains that block the crawler."
Phase 04,FRONTIER_COOLDOWN_429_BASE,900 seconds / 15 min (env: FRONTIER_COOLDOWN_429_BASE),[Backend only — no GUI control] Base cooldown in seconds after a 429 Rate Limit response. Uses same exponential backoff as 403. Shorter base than 403 because rate limits are temporary. First 429 = 15min cooldown.
Phase 04,FRONTIER_COOLDOWN_404,259200 seconds / 72 hours (env: FRONTIER_COOLDOWN_404),[Backend only — no GUI control] Cooldown in seconds after a 404 Not Found. 3-day cooldown before retrying a missing URL. Long because 404s are usually permanent unless the page moves.
Phase 04,FRONTIER_COOLDOWN_404_REPEAT,1209600 seconds / 14 days (env: FRONTIER_COOLDOWN_404_REPEAT),[Backend only — no GUI control] Cooldown for repeated 404s on the same URL. 14-day cooldown after a URL has been 404 multiple times. Much longer to avoid wasting fetch budget on permanently dead URLs.
Phase 04,FRONTIER_COOLDOWN_410,7776000 seconds / 90 days (env: FRONTIER_COOLDOWN_410),[Backend only — no GUI control] Cooldown after a 410 Gone response. 90-day cooldown because 410 explicitly means the resource is permanently removed. Near-permanent suppression.
Phase 04,FRONTIER_COOLDOWN_TIMEOUT,21600 seconds / 6 hours (env: FRONTIER_COOLDOWN_TIMEOUT),[Backend only — no GUI control] Cooldown after a request timeout. 6-hour cooldown before retrying a URL that timed out. Shorter than error codes because timeouts can be transient.
Phase 04,FRONTIER_QUERY_COOLDOWN_SECONDS,21600 seconds / 6 hours (env: FRONTIER_QUERY_COOLDOWN_SECONDS),[Backend only — no GUI control] Cooldown between repeated search queries to the same domain. Prevents re-querying a domain too frequently within a single session.
Phase 04,FRONTIER_BLOCKED_DOMAIN_THRESHOLD,2 (env + config.js),[Backend only — no GUI control] Number of consecutive blocked/failed responses from a domain before the entire domain is suppressed. After 2 blocked outcomes the domain is temporarily blacklisted for the current run.
Phase 04,FRONTIER_REPAIR_SEARCH_ENABLED,true (env + config.js),[Backend only — no GUI control] Master switch for repair query emission. When a URL returns 404/410 the system generates a repair search query to find the content at a new URL on the same domain. Disabling stops all repair attempts.
Phase 04,FRONTIER_STRIP_TRACKING_PARAMS,true (env: FRONTIER_STRIP_TRACKING_PARAMS),[Backend only — no GUI control] Strip UTM and other tracking parameters from URLs before storing in the frontier DB. Prevents treating the same page with different tracking params as different URLs.
Phase 04,FRONTIER_ENABLE_SQLITE,true (env: FRONTIER_ENABLE_SQLITE),[Backend only — no GUI control] Use SQLite backend for frontier URL health tracking instead of JSON file. SQLite is faster for large URL inventories and supports concurrent access.
Phase 04,FRONTIER_DB_PATH,_intel/frontier/frontier.json (env: FRONTIER_DB_PATH),[Backend only — no GUI control] Path to the JSON-based frontier database file. Used as fallback when SQLite is disabled. Contains all URL health records with cooldown timestamps.
Phase 04,403 Backoff Max Exponent,4 (hardcoded in frontierSqlite.js),"[Hardcoded — no control] Maximum exponent in the exponential backoff formula for 403/429 cooldowns. Math.pow(2, min(4, fetchCount-1)) means max multiplier is 16× the base cooldown. Caps the maximum cooldown at ~8 hours for 403s and ~4 hours for 429s."
Phase 04,Path Penalty Not-Found Threshold,3 (hardcoded in frontierSqlite.js; env fallback 2),[Hardcoded — no control] Number of 404 outcomes on different paths of the same domain before applying a domain-wide path penalty. After 3 different paths return 404 the domain gets a penalty score increase.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PHASE 05 — Parallel Fetch & Parse,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Phase 05,CONCURRENCY,2 (env + GUI: Indexing → Fetch Concurrency number input),"[GUI: Indexing Runtime → Fetch Concurrency input (min 1, max 64)] Maximum number of concurrent fetch operations. Controls how many URLs are being downloaded simultaneously. Higher values speed up fetching but increase risk of rate limiting and memory usage. Default of 2 is conservative."
Phase 05,PER_HOST_MIN_DELAY_MS,300 (env + GUI: Indexing → Per-Host Delay input),"[GUI: Indexing Runtime → Per-Host Delay ms input (min 0, max 120000, step 50)] Minimum delay in milliseconds between consecutive requests to the same host. Prevents overwhelming a single server. 300ms default = max ~3.3 req/s per host. Increase for polite crawling; decrease for faster fetching of tolerant hosts."
Phase 05,FETCH_SCHEDULER_ENABLED,false (env: FETCH_SCHEDULER_ENABLED),[Backend only — no GUI control] Feature flag for the new queue-based fetch scheduler (FetchScheduler + HostPacer + FallbackPolicy). When enabled fetches go through the scheduler with per-host pacing and dual-source fallback. When disabled the legacy direct fetch path is used.
Phase 05,FETCH_SCHEDULER_MAX_RETRIES,1 (env: FETCH_SCHEDULER_MAX_RETRIES),[Backend only — no GUI control] Maximum retry attempts per URL in the fetch scheduler. After 1 retry failure the URL is marked as failed and fallback policy decides next steps.
Phase 05,FETCH_SCHEDULER_FALLBACK_WAIT_MS,60000 (env: FETCH_SCHEDULER_FALLBACK_WAIT_MS),[Backend only — no GUI control] Wait time in milliseconds before attempting fallback fetch after primary failure. 60 seconds allows the target server to recover before retrying with alternate fetch method.
Phase 05,PREFER_HTTP_FETCHER,false (env: PREFER_HTTP_FETCHER),[Backend only — no GUI control] When true prefer plain HTTP fetch over Playwright/Crawlee dynamic rendering. Faster and lighter but misses JS-rendered content. Auto-set to true in 'fast' run profile.
Phase 05,DYNAMIC_CRAWLEE_ENABLED,true (env + GUI: Indexing → Crawlee Enabled toggle),[GUI: Indexing Runtime → Crawlee Enabled toggle] Master switch for Crawlee/Playwright-based dynamic page rendering. When disabled only plain HTTP fetch is available — JS-heavy pages will not render correctly. Essential for SPA sites and dynamically-loaded spec tables.
Phase 05,CRAWLEE_HEADLESS,true (env + GUI: Indexing → Crawlee Headless toggle),[GUI: Indexing Runtime → Crawlee Headless toggle] Run Playwright browser in headless mode (no visible window). Disable for debugging to watch the browser navigate. Headless is faster and uses less resources.
Phase 05,CRAWLEE_REQUEST_HANDLER_TIMEOUT_SECS,75 (env + GUI: Indexing → Handler Timeout input),"[GUI: Indexing Runtime → Handler Timeout (s) input (min 0, max 300)] Maximum time in seconds the Crawlee request handler waits before timing out a page fetch+parse operation. 75 seconds allows for slow-loading pages with lots of JS. Increase for very slow sites; decrease for faster failure."
Phase 05,DYNAMIC_FETCH_RETRY_BUDGET,2 (env + GUI: Indexing → Retry Budget input),"[GUI: Indexing Runtime → Retry Budget input (min 0, max 5)] Number of retry attempts for failed dynamic fetches per URL. Each retry uses exponential backoff. Higher values increase resilience but slow down failure detection."
Phase 05,DYNAMIC_FETCH_RETRY_BACKOFF_MS,1200 (env + GUI: Indexing → Retry Backoff input),"[GUI: Indexing Runtime → Retry Backoff (ms) input (min 0, max 30000, step 50)] Base backoff delay between dynamic fetch retries. Actual delay is backoff × attempt_number. 1200ms default provides reasonable spacing."
Phase 05,DYNAMIC_FETCH_POLICY_MAP_JSON,{} (env + GUI: Indexing → Domain Policy JSON textarea),"[GUI: Indexing Runtime → Domain Policy JSON textarea] Per-domain fetch policy overrides as JSON. Allows setting per-domain preferences like fetcher type, retry budget, and delay. Example: {""example.com"":{""prefer"":""playwright"",""retry_budget"":2,""per_host_delay_ms"":600}}. Advanced users can tune fetch behavior per site."
Phase 05,PAGE_GOTO_TIMEOUT_MS,15000 (env: PAGE_GOTO_TIMEOUT_MS),[Backend only — no GUI control] Playwright page.goto() timeout in milliseconds. How long to wait for initial page navigation before giving up. 15 seconds is generous for most pages.
Phase 05,PAGE_NETWORK_IDLE_TIMEOUT_MS,2000 (env: PAGE_NETWORK_IDLE_TIMEOUT_MS),[Backend only — no GUI control] Timeout for network idle detection after page load. Waits for the network to be quiet for this many ms before considering the page fully loaded. Important for SPA sites that make API calls after initial render.
Phase 05,POST_LOAD_WAIT_MS,0 (env: POST_LOAD_WAIT_MS),[Backend only — no GUI control] Additional wait time after page load and network idle before extracting content. 0 by default. Useful for pages with delayed animations or lazy-loaded content.
Phase 05,AUTO_SCROLL_ENABLED,false (env: AUTO_SCROLL_ENABLED),[Backend only — no GUI control] Enable automatic page scrolling to trigger lazy-loaded content. Some pages only load spec tables when scrolled into view. Disabled by default for speed.
Phase 05,AUTO_SCROLL_PASSES,0 (env: AUTO_SCROLL_PASSES),[Backend only — no GUI control] Number of scroll passes when auto-scroll is enabled. Each pass scrolls to bottom and back. More passes catch more lazy content but take longer.
Phase 05,AUTO_SCROLL_DELAY_MS,900 (env: AUTO_SCROLL_DELAY_MS),[Backend only — no GUI control] Delay between scroll passes in milliseconds. Allows time for content to load between scrolls.
Phase 05,GRAPHQL_REPLAY_ENABLED,true (env: GRAPHQL_REPLAY_ENABLED),[Backend only — no GUI control] Enable interception and replay of GraphQL queries observed during page load. Some sites load spec data via GraphQL — replaying these queries extracts structured data directly from the API.
Phase 05,MAX_GRAPHQL_REPLAYS,5 (env: MAX_GRAPHQL_REPLAYS),[Backend only — no GUI control] Maximum number of GraphQL queries to replay per page. Limits the API call budget to prevent excessive requests to the target site's GraphQL endpoint.
Phase 05,MAX_NETWORK_RESPONSES_PER_PAGE,1200 (env: MAX_NETWORK_RESPONSES_PER_PAGE),[Backend only — no GUI control] Maximum network responses to capture per page load. Limits memory usage from network interception on pages with many API calls. Responses beyond this limit are dropped.
Phase 05,ROBOTS_TXT_COMPLIANT,true (env: ROBOTS_TXT_COMPLIANT),[Backend only — no GUI control] Respect robots.txt directives. When true the fetcher checks robots.txt before crawling and skips disallowed paths. Disabling violates web etiquette but may access more content.
Phase 05,ROBOTS_TXT_TIMEOUT_MS,6000 (env: ROBOTS_TXT_TIMEOUT_MS),[Backend only — no GUI control] Timeout for fetching robots.txt files. If robots.txt doesn't respond within 6 seconds the URL is treated as allowed.
Phase 05,HostPacer DEFAULT_DELAY_MS,300 (hardcoded in hostPacer.js),[Hardcoded — no control] Default per-host pacing delay in the HostPacer concurrency module. Separate from PER_HOST_MIN_DELAY_MS — this is the default used internally by the FetchScheduler when no config override is provided.
Phase 05,FetchScheduler Default Concurrency,2 (hardcoded in fetchScheduler.js),[Hardcoded — no control] Default concurrency used internally by the FetchScheduler when no config override is provided. Separate from the CONCURRENCY config knob.
Phase 05,FetchScheduler Default Max Retries,1 (hardcoded in fetchScheduler.js),[Hardcoded — no control] Default max retries in the FetchScheduler internal logic.
Phase 05,FetchScheduler Retry Wait Intervals,1000ms / 60000ms (hardcoded in fetchScheduler.js),[Hardcoded — no control] Wait intervals in the FetchScheduler retry logic. 1000ms for immediate retry; 60000ms for backoff retry. Not configurable.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PHASE 06A — Evidence Index Database,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
